"RecordID","ProgramStudi","Gender","DeviceUtama","ModaBelajar","Kepuasan","IntensitasBelajar","DurasiBelajarJam","PaketID"
673444,"Matematika","L","Smartphone","Video","Cukup","Sedang",4.6,"ADK1-0701822E"
955822,"Sains Aktuaria","L","Tablet","Video","Sangat Puas","Tinggi",5.9,"ADK1-0701822E"
878446,"Sistem Informasi","P","Laptop","Diskusi","Tidak Puas","Rendah",2.7,"ADK1-0701822E"
324098,"Sains Aktuaria","L","Tablet","Video","Puas","Tinggi",10.2,"ADK1-0701822E"
137363,"Sains Aktuaria","P","Laptop","Video","Puas","Sedang",10.4,"ADK1-0701822E"
915265,"Sains Aktuaria","L","Smartphone","Diskusi","Tidak Puas","Tinggi",7.7,"ADK1-0701822E"
368269,"Sains Aktuaria","L","Smartphone","Diskusi","Tidak Puas","Rendah",5.3,"ADK1-0701822E"
474351,"Matematika","L","Smartphone","Video","Tidak Puas","Rendah",5.1,"ADK1-0701822E"
939088,"Matematika","P","Laptop","Diskusi","Sangat Puas","Tinggi",8.7,"ADK1-0701822E"
497705,"Sistem Informasi","L","Tablet","Video","Tidak Puas","Rendah",3.2,"ADK1-0701822E"
445122,"Sains Data","P","Smartphone","Buku","Tidak Puas","Rendah",4.5,"ADK1-0701822E"
945464,"Sains Aktuaria","L","Laptop","Video","Sangat Puas","Sedang",7.3,"ADK1-0701822E"
757259,"Sains Data","L","Smartphone","Praktik","Sangat Puas","Rendah",5.5,"ADK1-0701822E"
105917,"Matematika","P","Tablet","Video","Cukup","Rendah",5.6,"ADK1-0701822E"
926126,"Matematika","L","Smartphone","Diskusi","Tidak Puas","Sedang",4.9,"ADK1-0701822E"
532240,"Sains Aktuaria","P","Tablet","Diskusi","Cukup","Tinggi",10.6,"ADK1-0701822E"
199386,"Matematika","L","Tablet","Diskusi","Puas","Rendah",2,"ADK1-0701822E"
149662,"Sains Data","L","Smartphone","Video","Puas","Sedang",7.5,"ADK1-0701822E"
801746,"Matematika","L","Smartphone","Video","Tidak Puas","Sedang",7.1,"ADK1-0701822E"
558772,"Sains Aktuaria","P","Laptop","Buku","Cukup","Rendah",1.6,"ADK1-0701822E"
937158,"Sains Aktuaria","L","Tablet","Video",,"Sedang",9.4,"ADK1-0701822E"
157629,"Sains Aktuaria","L","Tablet","Video","Tidak Puas","Sedang",6.2,"ADK1-0701822E"
418698,"Matematika","L","Tablet","Buku","Cukup","Rendah",6,"ADK1-0701822E"
190734,"Matematika","P","Smartphone","Video","Cukup","Sedang",6.9,"ADK1-0701822E"
342844,"Sains Data","P","Laptop","Video","Cukup","Tinggi",9.6,"ADK1-0701822E"
649854,"Sains Aktuaria","P","Laptop","Video","Cukup","Rendah",5.5,"ADK1-0701822E"
197865,"Sistem Informasi","L","Laptop","Video","Puas","Sedang",4.8,"ADK1-0701822E"
345160,"Sains Aktuaria","P","Tablet","Video","Puas","Sedang",4.7,"ADK1-0701822E"
658690,"Sains Aktuaria","P","Tablet","Buku","Cukup","Sedang",10.2,"ADK1-0701822E"
788442,"Sistem Informasi","P","Tablet","Buku","Sangat Puas","Sedang",6.3,"ADK1-0701822E"
663823,"Sains Aktuaria","L","Tablet","Video","Cukup","Rendah",3.8,"ADK1-0701822E"
647071,"Sains Aktuaria","L","Smartphone","Diskusi","Cukup","Tinggi",13.2,"ADK1-0701822E"
490953,"Matematika","P","Tablet","Video","Puas","Rendah",6.4,"ADK1-0701822E"
923078,"Matematika","L","Tablet","Diskusi","Cukup","Sedang",10.6,"ADK1-0701822E"
163031,"Sains Data","P","Tablet","Video","Tidak Puas","Tinggi",11,"ADK1-0701822E"
138486,"Matematika","P","Tablet","Video","Tidak Puas","Sedang",7.7,"ADK1-0701822E"
122770,"Matematika","L","Tablet","Video","Sangat Puas","Tinggi",10.1,"ADK1-0701822E"
350682,"Sains Aktuaria","P","Laptop","Video","Sangat Puas","Tinggi",9,"ADK1-0701822E"
309022,"Sains Aktuaria","L","Tablet","Diskusi","Sangat Puas","Rendah",4.1,"ADK1-0701822E"
147808,"Sains Data","P","Smartphone","Buku","Cukup","Tinggi",11,"ADK1-0701822E"
696363,"Sains Aktuaria","L","Laptop","Video","Puas","Sedang",4.8,"ADK1-0701822E"
827875,"Matematika","P","Smartphone","Diskusi","Cukup","Tinggi",10.9,"ADK1-0701822E"
712452,"Sains Aktuaria","L","Tablet","Diskusi","Tidak Puas","Sedang",5,"ADK1-0701822E"
726725,"Sistem Informasi","L","Laptop","Video","Cukup","Sedang",8.4,"ADK1-0701822E"
927621,"Sains Data","P","Smartphone","Video","Tidak Puas","Tinggi",12,"ADK1-0701822E"
470362,"Matematika","P","Smartphone","Buku","Cukup","Tinggi",9.8,"ADK1-0701822E"
732129,"Matematika","L","Tablet","Diskusi","Tidak Puas","Sedang",7.4,"ADK1-0701822E"
647225,"Matematika","L","Smartphone","Diskusi","Sangat Puas","Sedang",6,"ADK1-0701822E"
962442,"Sains Aktuaria","L","Tablet","Video","Sangat Puas",,5.2,"ADK1-0701822E"
909978,"Sains Aktuaria","P","Smartphone","Video","Cukup","Tinggi",11.2,"ADK1-0701822E"
919477,"Sistem Informasi","L","Laptop","Praktik","Puas","Tinggi",9.1,"ADK1-0701822E"
419731,"Matematika","L","Smartphone","Video","Sangat Puas","Tinggi",9.2,"ADK1-0701822E"
